component_number,explained_variance_ratio,explained_variance_percent,cumulative_variance_ratio,cumulative_variance_percent
1,0.10539781350598708,10.539781350598707,0.10539781350598708,10.539781350598707
2,0.08754232469325539,8.754232469325538,0.19294013819924247,19.294013819924245
3,0.07810081050819297,7.810081050819297,0.27104094870743545,27.104094870743545
4,0.05165646999617299,5.165646999617299,0.32269741870360846,32.269741870360846
5,0.040289316608135145,4.028931660813514,0.36298673531174364,36.298673531174366
6,0.029208813062974705,2.9208813062974706,0.3921955483747183,39.21955483747183
7,0.02354735187559783,2.354735187559783,0.4157429002503161,41.574290025031615
8,0.021452990923784616,2.145299092378462,0.43719589117410074,43.719589117410074
9,0.016320013547177933,1.6320013547177932,0.4535159047212787,45.35159047212787
10,0.012338994919746247,1.2338994919746247,0.46585489964102494,46.58548996410249
11,0.010540955326266008,1.0540955326266008,0.476395854967291,47.6395854967291
12,0.00894551568640767,0.894551568640767,0.48534137065369864,48.53413706536986
13,0.008504326500200816,0.8504326500200816,0.4938456971538995,49.38456971538995
14,0.007529839092070279,0.752983909207028,0.5013755362459698,50.137553624596976
15,0.006666106245982326,0.6666106245982326,0.508041642491952,50.8041642491952
16,0.006469395972095683,0.6469395972095683,0.5145110384640478,51.45110384640478
17,0.006086145452390455,0.6086145452390456,0.5205971839164383,52.05971839164383
18,0.005850606234886229,0.5850606234886229,0.5264477901513245,52.64477901513245
19,0.005293659077086892,0.5293659077086892,0.5317414492284114,53.17414492284114
20,0.005154895671238728,0.5154895671238728,0.5368963448996501,53.68963448996501
21,0.004892586425406192,0.4892586425406192,0.5417889313250563,54.178893132505635
22,0.004658336559004189,0.4658336559004189,0.5464472678840605,54.644726788406054
23,0.004549982162923401,0.45499821629234005,0.5509972500469839,55.099725004698385
24,0.00447636063857493,0.44763606385749305,0.5554736106855588,55.54736106855588
25,0.004248685259691354,0.4248685259691354,0.5597222959452501,55.97222959452501
26,0.004181383719950263,0.4181383719950263,0.5639036796652004,56.39036796652004
27,0.00402426549234646,0.40242654923464594,0.5679279451575469,56.792794515754686
28,0.003936070004167609,0.3936070004167609,0.5718640151617145,57.18640151617145
29,0.003904007646285483,0.39040076462854834,0.575768022808,57.576802280799996
30,0.003586874297105578,0.3586874297105578,0.5793548971051056,57.93548971051056
31,0.0035758287292435523,0.35758287292435526,0.5829307258343491,58.29307258343491
32,0.003499781070912524,0.34997810709125243,0.5864305069052617,58.64305069052617
33,0.003373385274287937,0.3373385274287937,0.5898038921795496,58.980389217954965
34,0.003325228170597157,0.3325228170597157,0.5931291203501468,59.312912035014676
35,0.003246701423352542,0.3246701423352542,0.5963758217734993,59.637582177349934
36,0.0032012532504324923,0.32012532504324925,0.5995770750239319,59.957707502393184
37,0.003092210167857391,0.3092210167857391,0.6026692851917893,60.26692851917893
38,0.002951942088198785,0.2951942088198785,0.6056212272799881,60.56212272799881
39,0.0028502639764104018,0.28502639764104015,0.6084714912563985,60.84714912563985
40,0.002803980485900418,0.2803980485900418,0.611275471742299,61.1275471742299
41,0.002771373215155351,0.2771373215155351,0.6140468449574543,61.40468449574543
42,0.0026894489314624086,0.26894489314624087,0.6167362938889167,61.67362938889167
43,0.0026604203387062056,0.26604203387062053,0.6193967142276229,61.93967142276229
44,0.0026104142163929627,0.2610414216392963,0.6220071284440158,62.200712844401586
45,0.002588623631756483,0.2588623631756483,0.6245957520757723,62.45957520757723
46,0.002555679891667289,0.2555679891667289,0.6271514319674396,62.71514319674396
47,0.002522403110659568,0.25224031106595685,0.6296738350780992,62.96738350780991
48,0.0024916980118366793,0.24916980118366794,0.6321655330899358,63.21655330899358
49,0.0024381438386307714,0.24381438386307713,0.6346036769285666,63.46036769285666
50,0.0023786018783730784,0.23786018783730783,0.6369822788069397,63.69822788069397
51,0.0023377895268554437,0.23377895268554436,0.6393200683337952,63.93200683337952
52,0.002296843943129787,0.2296843943129787,0.641616912276925,64.1616912276925
53,0.0022677922593104614,0.22677922593104613,0.6438847045362355,64.38847045362354
54,0.002249091616509626,0.22490916165096259,0.6461337961527451,64.61337961527451
55,0.0021746679454336783,0.21746679454336784,0.6483084640981788,64.83084640981788
56,0.0021495716859227477,0.21495716859227476,0.6504580357841016,65.04580357841016
57,0.002130736395117131,0.2130736395117131,0.6525887721792187,65.25887721792188
58,0.002107606943022722,0.2107606943022722,0.6546963791222414,65.46963791222414
59,0.002048048577367868,0.2048048577367868,0.6567444276996093,65.67444276996093
60,0.002042409919144211,0.2042409919144211,0.6587868376187535,65.87868376187535
61,0.0019985732368689056,0.19985732368689055,0.6607854108556224,66.07854108556224
62,0.0019763057276264177,0.19763057276264176,0.6627617165832488,66.27617165832488
63,0.001973228861514826,0.1973228861514826,0.6647349454447636,66.47349454447637
64,0.0019486534370693133,0.19486534370693134,0.6666835988818329,66.66835988818329
65,0.001924929764941075,0.19249297649410751,0.668608528646774,66.8608528646774
66,0.0018428202311738576,0.18428202311738576,0.6704513488779479,67.04513488779479
67,0.0018215393376261808,0.18215393376261807,0.6722728882155741,67.22728882155741
68,0.0017940744724239098,0.17940744724239097,0.6740669626879979,67.40669626879979
69,0.001768266251102869,0.1768266251102869,0.6758352289391008,67.58352289391007
70,0.0017625440325553525,0.17625440325553526,0.6775977729716561,67.75977729716561
71,0.0017251388797284162,0.17251388797284162,0.6793229118513846,67.93229118513847
72,0.0017072064131927577,0.17072064131927578,0.6810301182645774,68.10301182645773
73,0.001694420038882676,0.1694420038882676,0.68272453830346,68.27245383034601
74,0.0016817686041120032,0.1681768604112003,0.684406306907572,68.4406306907572
75,0.0016479966486940046,0.16479966486940045,0.686054303556266,68.6054303556266
76,0.0016301324687025404,0.16301324687025404,0.6876844360249685,68.76844360249686
77,0.0016005727497632538,0.16005727497632538,0.6892850087747318,68.92850087747317
78,0.0015743794375311247,0.15743794375311246,0.6908593882122629,69.08593882122629
79,0.0015588528118734677,0.15588528118734676,0.6924182410241364,69.24182410241364
80,0.00154812034840866,0.154812034840866,0.6939663613725451,69.3966361372545
81,0.0015283443771566887,0.15283443771566887,0.6954947057497017,69.54947057497017
82,0.001501236071524573,0.1501236071524573,0.6969959418212263,69.69959418212262
83,0.0014917648984934314,0.14917648984934315,0.6984877067197197,69.84877067197198
84,0.0014840690845416755,0.14840690845416754,0.6999717758042614,69.99717758042614
85,0.001442230983072148,0.1442230983072148,0.7014140067873336,70.14140067873336
86,0.0014386677208768032,0.1438667720876803,0.7028526745082103,70.28526745082104
87,0.0014367114000269896,0.14367114000269895,0.7042893859082373,70.42893859082373
88,0.0014214538845527616,0.14214538845527616,0.70571083979279,70.57108397927901
89,0.0014027184247058025,0.14027184247058025,0.7071135582174959,70.71135582174959
90,0.0013930576077456546,0.13930576077456547,0.7085066158252415,70.85066158252415
91,0.0013802694261911242,0.1380269426191124,0.7098868852514326,70.98868852514326
92,0.0013629721676678879,0.1362972167667888,0.7112498574191005,71.12498574191005
93,0.0013570091972266044,0.13570091972266043,0.7126068666163271,71.2606866616327
94,0.0013442269079157027,0.13442269079157027,0.7139510935242428,71.39510935242429
95,0.0013314546564938236,0.13314546564938237,0.7152825481807367,71.52825481807366
96,0.0013108200615114599,0.13108200615114599,0.7165933682422482,71.65933682422482
97,0.0013037225599683653,0.13037225599683652,0.7178970908022165,71.78970908022166
98,0.0013031763508302547,0.13031763508302546,0.7192002671530467,71.92002671530467
99,0.0012768498297585484,0.12768498297585484,0.7204771169828053,72.04771169828052
100,0.0012636487869636854,0.12636487869636853,0.721740765769769,72.1740765769769
101,0.0012631590745995614,0.12631590745995613,0.7230039248443685,72.30039248443686
102,0.0012481910831863478,0.12481910831863478,0.7242521159275548,72.42521159275547
103,0.0012445879868528326,0.12445879868528327,0.7254967039144076,72.54967039144076
104,0.0012266675524414434,0.12266675524414433,0.7267233714668491,72.67233714668491
105,0.0012143551538141225,0.12143551538141226,0.7279377266206631,72.79377266206632
106,0.0011976051009023382,0.11976051009023382,0.7291353317215655,72.91353317215655
107,0.0011964426557391653,0.11964426557391653,0.7303317743773047,73.03317743773047
108,0.0011801732979376995,0.11801732979376996,0.7315119476752424,73.15119476752425
109,0.0011709248358222099,0.11709248358222099,0.7326828725110647,73.26828725110647
110,0.0011629886263818032,0.11629886263818032,0.7338458611374464,73.38458611374465
111,0.0011563293496599232,0.11563293496599232,0.7350021904871064,73.50021904871063
112,0.0011453003511638891,0.11453003511638891,0.7361474908382702,73.61474908382702
113,0.0011308943544022204,0.11308943544022204,0.7372783851926724,73.72783851926724
114,0.001125303830640746,0.1125303830640746,0.7384036890233132,73.84036890233132
115,0.0011203448637366479,0.11203448637366478,0.7395240338870499,73.952403388705
116,0.0011024796804559684,0.11024796804559685,0.7406265135675059,74.06265135675059
117,0.0010943802036210938,0.10943802036210938,0.7417208937711269,74.1720893771127
118,0.0010859608085762738,0.10859608085762738,0.7428068545797032,74.28068545797032
119,0.0010842251398535648,0.10842251398535648,0.7438910797195567,74.38910797195567
120,0.001074022563158569,0.1074022563158569,0.7449651022827153,74.49651022827153
121,0.0010720876539613612,0.10720876539613612,0.7460371899366767,74.60371899366767
122,0.001055289793516198,0.10552897935161978,0.7470924797301929,74.70924797301929
123,0.001050741429449566,0.1050741429449566,0.7481432211596425,74.81432211596425
124,0.0010401226842164028,0.10401226842164028,0.7491833438438589,74.91833438438589
125,0.0010358383283333426,0.10358383283333426,0.7502191821721922,75.02191821721922
126,0.0010242773451386836,0.10242773451386836,0.7512434595173308,75.12434595173309
127,0.0010210239658131424,0.10210239658131423,0.752264483483144,75.2264483483144
128,0.0010115535765002855,0.10115535765002856,0.7532760370596443,75.32760370596444
129,0.0010051203591574908,0.10051203591574909,0.7542811574188018,75.42811574188018
130,0.0009997774176256173,0.09997774176256173,0.7552809348364273,75.52809348364273
131,0.0009950909272213317,0.09950909272213318,0.7562760257636487,75.62760257636486
132,0.000985446062691129,0.0985446062691129,0.7572614718263398,75.72614718263398
133,0.0009800517161733687,0.09800517161733686,0.7582415235425132,75.82415235425131
134,0.0009696509652248164,0.09696509652248164,0.759211174507738,75.9211174507738
135,0.0009690134256376012,0.09690134256376012,0.7601801879333756,76.01801879333756
136,0.0009627545040583075,0.09627545040583074,0.761142942437434,76.1142942437434
137,0.000948028893701098,0.0948028893701098,0.762090971331135,76.2090971331135
138,0.0009467017385489877,0.09467017385489877,0.763037673069684,76.3037673069684
139,0.0009401081365316874,0.09401081365316874,0.7639777812062156,76.39777812062157
140,0.0009391251159027183,0.09391251159027182,0.7649169063221184,76.49169063221184
141,0.000928369437182737,0.0928369437182737,0.7658452757593012,76.58452757593011
142,0.0009247160117099552,0.09247160117099552,0.7667699917710111,76.67699917710111
143,0.0009140330275650334,0.09140330275650335,0.7676840247985761,76.76840247985761
144,0.0009097871481958609,0.09097871481958608,0.768593811946772,76.8593811946772
145,0.0009017617794843511,0.09017617794843512,0.7694955737262563,76.94955737262563
146,0.0009007026107588955,0.09007026107588954,0.7703962763370152,77.03962763370153
147,0.0008991012355948833,0.08991012355948833,0.7712953775726101,77.12953775726102
148,0.0008880681367252236,0.08880681367252236,0.7721834457093354,77.21834457093354
149,0.000887464022081931,0.0887464022081931,0.7730709097314173,77.30709097314174
150,0.0008845428538162168,0.08845428538162169,0.7739554525852336,77.39554525852336
151,0.0008733934717371294,0.08733934717371293,0.7748288460569707,77.48288460569707
152,0.0008710499110512924,0.08710499110512925,0.7756998959680219,77.56998959680219
153,0.0008642352612961081,0.08642352612961081,0.776564131229318,77.6564131229318
154,0.0008620256323298119,0.08620256323298119,0.7774261568616478,77.74261568616478
155,0.0008569796630924943,0.08569796630924943,0.7782831365247403,77.82831365247404
156,0.0008539805537511162,0.08539805537511162,0.7791371170784914,77.91371170784915
157,0.0008521962380033624,0.08521962380033624,0.7799893133164948,77.99893133164947
158,0.0008441930992979056,0.08441930992979056,0.7808335064157927,78.08335064157927
159,0.0008396986082757173,0.08396986082757173,0.7816732050240685,78.16732050240685
160,0.0008383165963570619,0.08383165963570618,0.7825115216204255,78.25115216204254
161,0.0008324305923715751,0.08324305923715751,0.7833439522127971,78.3343952212797
162,0.0008257464100747404,0.08257464100747404,0.7841696986228718,78.41696986228717
163,0.0008242698715470939,0.08242698715470939,0.7849939684944188,78.49939684944188
164,0.0008222747032240261,0.08222747032240262,0.7858162431976429,78.58162431976429
165,0.0008150428212909928,0.08150428212909927,0.7866312860189338,78.66312860189339
166,0.0008079781502642938,0.08079781502642938,0.7874392641691982,78.74392641691982
167,0.0008029115732072276,0.08029115732072276,0.7882421757424054,78.82421757424054
168,0.0007993867180810835,0.07993867180810836,0.7890415624604865,78.90415624604866
169,0.0007954636945394939,0.07954636945394938,0.789837026155026,78.98370261550261
170,0.0007919974683766124,0.07919974683766123,0.7906290236234027,79.06290236234027
171,0.0007856646961193945,0.07856646961193944,0.7914146883195221,79.14146883195221
172,0.0007831026504555565,0.07831026504555566,0.7921977909699777,79.21977909699777
173,0.0007826063186844366,0.07826063186844366,0.7929803972886621,79.29803972886621
174,0.0007753034670796656,0.07753034670796656,0.7937557007557418,79.37557007557417
175,0.0007727073275779398,0.07727073275779398,0.7945284080833197,79.45284080833197
176,0.0007693227465345037,0.07693227465345037,0.7952977308298542,79.52977308298543
177,0.0007660525804804338,0.07660525804804338,0.7960637834103347,79.60637834103346
178,0.0007630777283425723,0.07630777283425723,0.7968268611386773,79.68268611386773
179,0.0007541094334122041,0.07541094334122041,0.7975809705720895,79.75809705720896
180,0.0007490151614288136,0.07490151614288136,0.7983299857335183,79.83299857335183
181,0.0007482576642686748,0.07482576642686747,0.799078243397787,79.9078243397787
182,0.0007397729376845333,0.07397729376845333,0.7998180163354716,79.98180163354715
183,0.0007340878986538961,0.07340878986538961,0.8005521042341255,80.05521042341255
184,0.000730962205210137,0.0730962205210137,0.8012830664393357,80.12830664393357
185,0.0007287917975193304,0.07287917975193305,0.802011858236855,80.20118582368549
186,0.000727930073592245,0.0727930073592245,0.8027397883104472,80.27397883104473
187,0.0007237629891744166,0.07237629891744166,0.8034635512996217,80.34635512996216
188,0.0007207262371376852,0.07207262371376852,0.8041842775367594,80.41842775367594
189,0.0007180481118965085,0.07180481118965086,0.8049023256486558,80.49023256486558
190,0.0007148253657189923,0.07148253657189924,0.8056171510143748,80.56171510143749
191,0.0007127296506545904,0.07127296506545903,0.8063298806650294,80.63298806650295
192,0.0007098995625982233,0.07098995625982232,0.8070397802276277,80.70397802276277
193,0.0007057679680992221,0.07057679680992221,0.8077455481957269,80.77455481957269
194,0.0007029250417487819,0.07029250417487819,0.8084484732374756,80.84484732374756
195,0.0007001634321457395,0.07001634321457395,0.8091486366696213,80.91486366696213
196,0.000699138901035256,0.0699138901035256,0.8098477755706566,80.98477755706566
197,0.0006939670903595741,0.0693967090359574,0.8105417426610162,81.05417426610163
198,0.0006920756401848802,0.06920756401848802,0.8112338183012011,81.12338183012011
199,0.0006897792659236055,0.06897792659236054,0.8119235975671247,81.19235975671248
200,0.000684470625906766,0.06844706259067661,0.8126080681930316,81.26080681930316
201,0.0006820092286704662,0.06820092286704661,0.813290077421702,81.3290077421702
202,0.0006806726007716391,0.06806726007716392,0.8139707500224737,81.39707500224736
203,0.0006770036899893426,0.06770036899893427,0.814647753712463,81.4647753712463
204,0.00067378622645841,0.06737862264584099,0.8153215399389214,81.53215399389214
205,0.000672916076568561,0.0672916076568561,0.81599445601549,81.59944560154901
206,0.0006698805443301109,0.06698805443301109,0.8166643365598202,81.66643365598202
207,0.0006670230028281171,0.06670230028281171,0.8173313595626484,81.73313595626483
208,0.0006626885412307388,0.06626885412307387,0.8179940481038791,81.79940481038791
209,0.0006569932554678192,0.06569932554678193,0.818651041359347,81.8651041359347
210,0.0006560883274667412,0.06560883274667412,0.8193071296868137,81.93071296868138
211,0.0006514048074073806,0.06514048074073805,0.8199585344942211,81.9958534494221
212,0.0006496579907519263,0.06496579907519263,0.820608192484973,82.0608192484973
213,0.0006489266411697365,0.06489266411697366,0.8212571191261427,82.12571191261428
214,0.0006433940008363348,0.06433940008363348,0.8219005131269791,82.1900513126979
215,0.0006402586654471384,0.06402586654471383,0.8225407717924262,82.25407717924263
216,0.0006379125248923901,0.06379125248923902,0.8231786843173187,82.31786843173187
217,0.0006360145257907863,0.06360145257907864,0.8238146988431094,82.38146988431095
218,0.0006330280155534673,0.06330280155534673,0.8244477268586629,82.44477268586628
219,0.000631063467377063,0.0631063467377063,0.8250787903260399,82.507879032604
220,0.0006273756378841472,0.06273756378841472,0.8257061659639241,82.57061659639241
221,0.0006265705993567286,0.06265705993567286,0.8263327365632809,82.63327365632809
222,0.0006239780356617572,0.06239780356617571,0.8269567145989426,82.69567145989426
223,0.0006204801664788104,0.06204801664788104,0.8275771947654215,82.75771947654215
224,0.0006158599942766111,0.06158599942766111,0.8281930547596981,82.81930547596981
225,0.000614469851375444,0.061446985137544395,0.8288075246110735,82.88075246110735
226,0.0006127782791736632,0.061277827917366315,0.8294203028902472,82.94203028902471
227,0.0006114714476041635,0.061147144760416355,0.8300317743378514,83.00317743378514
228,0.0006081696503351301,0.06081696503351301,0.8306399439881865,83.06399439881865
229,0.0006067419554865512,0.060674195548655115,0.8312466859436731,83.12466859436731
230,0.0006027564610589072,0.060275646105890715,0.831849442404732,83.1849442404732
231,0.0005999329544789173,0.05999329544789173,0.8324493753592109,83.2449375359211
232,0.0005975861881497076,0.059758618814970764,0.8330469615473607,83.30469615473606
233,0.0005964320153826209,0.05964320153826209,0.8336433935627433,83.36433935627433
234,0.0005946944116164258,0.059469441161642586,0.8342380879743597,83.42380879743597
235,0.0005936302746697081,0.059363027466970815,0.8348317182490295,83.48317182490294
236,0.0005919729091515579,0.05919729091515579,0.835423691158181,83.5423691158181
237,0.000589865729232623,0.0589865729232623,0.8360135568874136,83.60135568874136
238,0.000583038234512676,0.058303823451267604,0.8365965951219263,83.65965951219263
239,0.0005808234123349873,0.05808234123349873,0.8371774185342613,83.71774185342613
240,0.0005805567526227546,0.05805567526227546,0.8377579752868841,83.77579752868841
241,0.0005794630321357114,0.057946303213571144,0.8383374383190199,83.83374383190198
242,0.0005782359229996627,0.05782359229996627,0.8389156742420195,83.89156742420195
243,0.0005756183240205206,0.05756183240205206,0.83949129256604,83.94912925660401
244,0.0005727421843404834,0.05727421843404834,0.8400640347503805,84.00640347503806
245,0.000568982976896708,0.05689829768967081,0.8406330177272772,84.06330177272771
246,0.0005683456222305614,0.05683456222305614,0.8412013633495077,84.12013633495077
247,0.0005661858485640125,0.056618584856401255,0.8417675491980717,84.17675491980717
248,0.0005654954006879479,0.05654954006879479,0.8423330445987597,84.23330445987597
249,0.0005627860165402759,0.05627860165402759,0.8428958306152999,84.28958306153
250,0.0005576753157787796,0.05576753157787796,0.8434535059310787,84.34535059310787
251,0.0005569376520955708,0.05569376520955708,0.8440104435831742,84.40104435831742
252,0.0005546087338793227,0.05546087338793227,0.8445650523170536,84.45650523170536
253,0.0005537540675987912,0.05537540675987912,0.8451188063846524,84.51188063846524
254,0.0005533676409777984,0.05533676409777984,0.8456721740256302,84.56721740256302
255,0.0005499950502940266,0.05499950502940266,0.8462221690759243,84.62221690759243
256,0.000546684132131363,0.0546684132131363,0.8467688532080556,84.67688532080557
257,0.0005455761482209697,0.054557614822096964,0.8473144293562765,84.73144293562765
258,0.0005452210406269373,0.05452210406269373,0.8478596503969035,84.78596503969035
259,0.0005433692747272115,0.05433692747272115,0.8484030196716307,84.84030196716307
260,0.0005386702264765735,0.05386702264765735,0.8489416898981073,84.89416898981072
261,0.0005375278723629493,0.05375278723629493,0.8494792177704702,84.94792177704701
262,0.000535251645550606,0.053525164555060595,0.8500144694160208,85.00144694160208
263,0.0005343625494390128,0.05343625494390128,0.8505488319654598,85.05488319654599
264,0.0005337987051553328,0.05337987051553328,0.8510826306706152,85.10826306706151
265,0.0005322665610017776,0.05322665610017776,0.851614897231617,85.1614897231617
266,0.0005307662738137103,0.05307662738137103,0.8521456635054308,85.21456635054308
267,0.0005288416280028798,0.05288416280028798,0.8526745051334337,85.26745051334336
268,0.0005272401113791611,0.05272401113791611,0.8532017452448128,85.32017452448129
269,0.0005236099792701501,0.052360997927015006,0.853725355224083,85.3725355224083
270,0.0005225464833091735,0.05225464833091735,0.8542479017073922,85.42479017073921
